models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 282 : Cost=33.2099, ExpCost=35.2389.
Iter 283 : Cost=34.5655, ExpCost=35.2322.
Iter 284 : Cost=31.6118, ExpCost=35.1960.
Time per epoch : 181.202986
testing on training set real quick
Testing netFile models/RNTN_wvecDim_30_step_10e-2_2.bin
Testing RNTN...
Cost 32.808681, Acc 0.681937
testing on dev set real quick
Testing netFile models/RNTN_wvecDim_30_step_10e-2_2.bin
Testing RNTN...
Cost 33.872749, Acc 0.675827
fprop in trees cleared
Running epoch 1
running SGD
Iter 285 : Cost=36.6886, ExpCost=35.2109.
Iter 286 : Cost=34.8361, ExpCost=35.2072.
Iter 287 : Cost=33.0250, ExpCost=35.1853.
Iter 288 : Cost=31.0767, ExpCost=35.1442.
Iter 289 : Cost=34.6221, ExpCost=35.1390.
Iter 290 : Cost=30.0636, ExpCost=35.0883.
Iter 291 : Cost=31.6874, ExpCost=35.0543.
Iter 292 : Cost=36.1888, ExpCost=35.0656.
Iter 293 : Cost=31.5119, ExpCost=35.0301.
Iter 294 : Cost=25.6582, ExpCost=34.9364.
Iter 295 : Cost=37.2580, ExpCost=34.9596.
Iter 296 : Cost=30.4581, ExpCost=34.9146.
Iter 297 : Cost=35.6277, ExpCost=34.9217.
Iter 298 : Cost=33.2528, ExpCost=34.9050.
Iter 299 : Cost=37.3588, ExpCost=34.9295.
Iter 300 : Cost=33.8022, ExpCost=34.9183.
Iter 301 : Cost=31.8256, ExpCost=34.8873.
Iter 302 : Cost=37.0364, ExpCost=34.9088.
Iter 303 : Cost=25.9772, ExpCost=34.8195.
Iter 304 : Cost=37.2295, ExpCost=34.8436.
Iter 305 : Cost=35.0062, ExpCost=34.8452.
Iter 306 : Cost=31.4305, ExpCost=34.8111.
Iter 307 : Cost=29.1944, ExpCost=34.7549.
Iter 308 : Cost=34.1678, ExpCost=34.7490.
Iter 309 : Cost=31.2159, ExpCost=34.7137.
Iter 310 : Cost=25.3794, ExpCost=34.6204.
Iter 311 : Cost=30.5269, ExpCost=34.5794.
Iter 312 : Cost=31.0474, ExpCost=34.5441.
Iter 313 : Cost=29.9512, ExpCost=34.4982.
Iter 314 : Cost=30.7444, ExpCost=34.4607.
Iter 315 : Cost=32.2043, ExpCost=34.4381.
Iter 316 : Cost=27.1349, ExpCost=34.3651.
Iter 317 : Cost=29.7216, ExpCost=34.3186.
Iter 318 : Cost=34.4013, ExpCost=34.3194.
Iter 319 : Cost=30.3216, ExpCost=34.2795.
Iter 320 : Cost=30.9112, ExpCost=34.2458.
Iter 321 : Cost=31.9802, ExpCost=34.2231.
Iter 322 : Cost=29.8395, ExpCost=34.1793.
Iter 323 : Cost=30.4854, ExpCost=34.1424.
Iter 324 : Cost=30.5450, ExpCost=34.1064.
Iter 325 : Cost=32.8234, ExpCost=34.0936.
Iter 326 : Cost=37.1635, ExpCost=34.1243.
Iter 327 : Cost=33.1125, ExpCost=34.1141.
Iter 328 : Cost=31.6253, ExpCost=34.0892.
Iter 329 : Cost=32.6765, ExpCost=34.0751.
Iter 330 : Cost=35.3402, ExpCost=34.0878.
Iter 331 : Cost=31.4487, ExpCost=34.0614.
Iter 332 : Cost=30.1890, ExpCost=34.0227.
Iter 333 : Cost=32.2610, ExpCost=34.0050.
Iter 334 : Cost=34.2999, ExpCost=34.0080.
Iter 335 : Cost=32.2442, ExpCost=33.9903.
Iter 336 : Cost=26.9797, ExpCost=33.9202.
Iter 337 : Cost=40.0236, ExpCost=33.9813.
Iter 338 : Cost=30.0653, ExpCost=33.9421.
Iter 339 : Cost=29.4218, ExpCost=33.8969.
Iter 340 : Cost=31.3733, ExpCost=33.8717.
