models/RNN_wvecDim_30_step_1e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 244 : Cost=31.4461, ExpCost=36.6664.
Iter 245 : Cost=33.6687, ExpCost=36.6365.
Iter 246 : Cost=33.9593, ExpCost=36.6097.
Iter 247 : Cost=28.3064, ExpCost=36.5267.
Iter 248 : Cost=29.3347, ExpCost=36.4547.
Iter 249 : Cost=35.0866, ExpCost=36.4411.
Iter 250 : Cost=29.8147, ExpCost=36.3748.
Iter 251 : Cost=34.8038, ExpCost=36.3591.
Iter 252 : Cost=31.9501, ExpCost=36.3150.
Iter 253 : Cost=36.8837, ExpCost=36.3207.
Iter 254 : Cost=32.3513, ExpCost=36.2810.
Iter 255 : Cost=30.5498, ExpCost=36.2237.
Iter 256 : Cost=33.5709, ExpCost=36.1972.
Iter 257 : Cost=33.3519, ExpCost=36.1687.
Iter 258 : Cost=29.7866, ExpCost=36.1049.
Iter 259 : Cost=29.7869, ExpCost=36.0417.
Iter 260 : Cost=29.5786, ExpCost=35.9771.
Iter 261 : Cost=33.3804, ExpCost=35.9511.
Iter 262 : Cost=29.9249, ExpCost=35.8908.
Iter 263 : Cost=28.0740, ExpCost=35.8127.
Iter 264 : Cost=26.2792, ExpCost=35.7173.
Iter 265 : Cost=31.0110, ExpCost=35.6703.
Iter 266 : Cost=28.1494, ExpCost=35.5951.
Iter 267 : Cost=27.9901, ExpCost=35.5190.
Iter 268 : Cost=32.5075, ExpCost=35.4889.
Iter 269 : Cost=30.7371, ExpCost=35.4414.
Iter 270 : Cost=31.2836, ExpCost=35.3998.
Iter 271 : Cost=30.8786, ExpCost=35.3546.
Iter 272 : Cost=35.8475, ExpCost=35.3595.
Iter 273 : Cost=31.3900, ExpCost=35.3198.
Iter 274 : Cost=32.0465, ExpCost=35.2871.
Iter 275 : Cost=35.1693, ExpCost=35.2859.
Iter 276 : Cost=26.7861, ExpCost=35.2009.
Iter 277 : Cost=26.7403, ExpCost=35.1163.
Iter 278 : Cost=26.3268, ExpCost=35.0284.
Iter 279 : Cost=36.7471, ExpCost=35.0456.
Iter 280 : Cost=33.2552, ExpCost=35.0277.
Iter 281 : Cost=33.3367, ExpCost=35.0108.
Iter 282 : Cost=36.5928, ExpCost=35.0266.
Iter 283 : Cost=28.0374, ExpCost=34.9567.
Iter 284 : Cost=37.5636, ExpCost=34.9828.
Time per epoch : 51.789198
testing on training set real quick
Testing netFile models/RNN_wvecDim_30_step_1e-2_2.bin
Testing RNN...
Cost 29.975484, Acc 0.721987
testing on dev set real quick
Testing netFile models/RNN_wvecDim_30_step_1e-2_2.bin
Testing RNN...
Cost 31.142607, Acc 0.716698
fprop in trees cleared
Running epoch 1
running SGD
Iter 285 : Cost=24.8955, ExpCost=34.8819.
Iter 286 : Cost=29.6983, ExpCost=34.8301.
Iter 287 : Cost=26.5450, ExpCost=34.7472.
Iter 288 : Cost=25.9957, ExpCost=34.6597.
Iter 289 : Cost=31.5501, ExpCost=34.6286.
Iter 290 : Cost=23.9555, ExpCost=34.5219.
Iter 291 : Cost=30.4944, ExpCost=34.4816.
Iter 292 : Cost=34.9673, ExpCost=34.4865.
Iter 293 : Cost=33.1911, ExpCost=34.4735.
Iter 294 : Cost=30.5396, ExpCost=34.4342.
Iter 295 : Cost=33.6720, ExpCost=34.4266.
Iter 296 : Cost=26.2404, ExpCost=34.3447.
Iter 297 : Cost=26.2215, ExpCost=34.2635.
Iter 298 : Cost=25.5013, ExpCost=34.1758.
Iter 299 : Cost=33.5800, ExpCost=34.1699.
Iter 300 : Cost=28.6376, ExpCost=34.1146.
Iter 301 : Cost=28.0270, ExpCost=34.0537.
Iter 302 : Cost=28.0257, ExpCost=33.9934.
Iter 303 : Cost=33.5115, ExpCost=33.9886.
Iter 304 : Cost=30.6116, ExpCost=33.9548.
Iter 305 : Cost=29.0805, ExpCost=33.9061.
Iter 306 : Cost=26.7773, ExpCost=33.8348.
Iter 307 : Cost=33.6658, ExpCost=33.8331.
Iter 308 : Cost=33.1660, ExpCost=33.8264.
Iter 309 : Cost=28.2423, ExpCost=33.7706.
Iter 310 : Cost=25.9939, ExpCost=33.6928.
Iter 311 : Cost=27.7423, ExpCost=33.6333.
Iter 312 : Cost=31.5645, ExpCost=33.6126.
Iter 313 : Cost=30.4513, ExpCost=33.5810.
Iter 314 : Cost=25.2454, ExpCost=33.4976.
Iter 315 : Cost=26.7116, ExpCost=33.4298.
Iter 316 : Cost=31.0865, ExpCost=33.4064.
Iter 317 : Cost=32.3171, ExpCost=33.3955.
Iter 318 : Cost=32.0965, ExpCost=33.3825.
Iter 319 : Cost=29.9952, ExpCost=33.3486.
Iter 320 : Cost=24.9806, ExpCost=33.2649.
Iter 321 : Cost=29.7820, ExpCost=33.2301.
Iter 322 : Cost=26.8031, ExpCost=33.1658.
Iter 323 : Cost=26.3003, ExpCost=33.0972.
Iter 324 : Cost=31.0942, ExpCost=33.0771.
Iter 325 : Cost=24.2625, ExpCost=32.9890.
Iter 326 : Cost=31.2108, ExpCost=32.9712.
Iter 327 : Cost=26.6969, ExpCost=32.9085.
Iter 328 : Cost=31.3933, ExpCost=32.8933.
Iter 329 : Cost=30.3342, ExpCost=32.8677.
Iter 330 : Cost=28.6726, ExpCost=32.8258.
Iter 331 : Cost=28.4251, ExpCost=32.7818.
Iter 332 : Cost=30.9875, ExpCost=32.7638.
Iter 333 : Cost=29.9755, ExpCost=32.7359.
Iter 334 : Cost=32.3207, ExpCost=32.7318.
Iter 335 : Cost=29.6418, ExpCost=32.7009.
Iter 336 : Cost=31.1980, ExpCost=32.6859.
Iter 337 : Cost=25.6712, ExpCost=32.6157.
Iter 338 : Cost=25.2037, ExpCost=32.5416.
Iter 339 : Cost=24.4124, ExpCost=32.4603.
Iter 340 : Cost=28.7024, ExpCost=32.4227.
Iter 341 : Cost=31.0645, ExpCost=32.4091.
Iter 342 : Cost=28.2213, ExpCost=32.3673.
Iter 343 : Cost=30.6736, ExpCost=32.3503.
Iter 344 : Cost=31.2082, ExpCost=32.3389.
Iter 345 : Cost=28.8878, ExpCost=32.3044.
Iter 346 : Cost=29.6036, ExpCost=32.2774.
Iter 347 : Cost=34.1895, ExpCost=32.2965.
Iter 348 : Cost=25.2048, ExpCost=32.2256.
Iter 349 : Cost=22.5841, ExpCost=32.1292.
Iter 350 : Cost=24.6783, ExpCost=32.0547.
Iter 351 : Cost=29.5290, ExpCost=32.0294.
Iter 352 : Cost=30.3434, ExpCost=32.0125.
Iter 353 : Cost=27.9536, ExpCost=31.9720.
Iter 354 : Cost=30.6762, ExpCost=31.9590.
Iter 355 : Cost=31.8236, ExpCost=31.9576.
Iter 356 : Cost=25.1364, ExpCost=31.8894.
Iter 357 : Cost=29.0640, ExpCost=31.8612.
Iter 358 : Cost=28.3559, ExpCost=31.8261.
Iter 359 : Cost=29.9178, ExpCost=31.8070.
Iter 360 : Cost=32.8894, ExpCost=31.8179.
Iter 361 : Cost=29.8375, ExpCost=31.7981.
Iter 362 : Cost=29.1029, ExpCost=31.7711.
Iter 363 : Cost=30.4458, ExpCost=31.7579.
Iter 364 : Cost=27.9002, ExpCost=31.7193.
Iter 365 : Cost=30.1119, ExpCost=31.7032.
Iter 366 : Cost=27.9445, ExpCost=31.6656.
Iter 367 : Cost=26.9329, ExpCost=31.6183.
Iter 368 : Cost=25.3281, ExpCost=31.5554.
Iter 369 : Cost=26.8266, ExpCost=31.5081.
Iter 370 : Cost=31.1860, ExpCost=31.5049.
Iter 371 : Cost=25.8857, ExpCost=31.4487.
Iter 372 : Cost=30.8221, ExpCost=31.4424.
Iter 373 : Cost=31.7969, ExpCost=31.4460.
Iter 374 : Cost=29.6618, ExpCost=31.4281.
Iter 375 : Cost=28.6498, ExpCost=31.4003.
Iter 376 : Cost=25.2816, ExpCost=31.3392.
Iter 377 : Cost=28.1817, ExpCost=31.3076.
Iter 378 : Cost=29.8913, ExpCost=31.2934.
Iter 379 : Cost=28.1785, ExpCost=31.2623.
Iter 380 : Cost=27.1781, ExpCost=31.2214.
Iter 381 : Cost=29.9139, ExpCost=31.2084.
Iter 382 : Cost=30.7834, ExpCost=31.2041.
Iter 383 : Cost=27.7966, ExpCost=31.1700.
Iter 384 : Cost=30.2387, ExpCost=31.1607.
Iter 385 : Cost=31.0950, ExpCost=31.1601.
Iter 386 : Cost=26.5152, ExpCost=31.1136.
Iter 387 : Cost=30.8987, ExpCost=31.1115.
Iter 388 : Cost=27.6352, ExpCost=31.0767.
Iter 389 : Cost=29.6520, ExpCost=31.0625.
Iter 390 : Cost=30.9766, ExpCost=31.0616.
Iter 391 : Cost=28.6768, ExpCost=31.0377.
Iter 392 : Cost=26.8219, ExpCost=30.9956.
Iter 393 : Cost=29.0564, ExpCost=30.9762.
Iter 394 : Cost=27.0733, ExpCost=30.9372.
Iter 395 : Cost=28.9335, ExpCost=30.9171.
Iter 396 : Cost=28.6396, ExpCost=30.8944.
Iter 397 : Cost=32.9736, ExpCost=30.9151.
Iter 398 : Cost=31.6297, ExpCost=30.9223.
Iter 399 : Cost=27.8593, ExpCost=30.8917.
Iter 400 : Cost=28.9376, ExpCost=30.8721.
Iter 401 : Cost=19.1154, ExpCost=30.7546.
Iter 402 : Cost=32.4018, ExpCost=30.7710.
Iter 403 : Cost=25.1088, ExpCost=30.7144.
Iter 404 : Cost=30.4247, ExpCost=30.7115.
Iter 405 : Cost=26.1766, ExpCost=30.6662.
Iter 406 : Cost=30.6109, ExpCost=30.6656.
Iter 407 : Cost=32.2613, ExpCost=30.6816.
Iter 408 : Cost=31.9102, ExpCost=30.6938.
Iter 409 : Cost=29.7875, ExpCost=30.6848.
Iter 410 : Cost=32.5189, ExpCost=30.7031.
Iter 411 : Cost=28.4144, ExpCost=30.6802.
Iter 412 : Cost=29.5090, ExpCost=30.6685.
Iter 413 : Cost=30.5567, ExpCost=30.6674.
Iter 414 : Cost=27.8499, ExpCost=30.6392.
Iter 415 : Cost=28.3207, ExpCost=30.6160.
Iter 416 : Cost=33.9795, ExpCost=30.6497.
Iter 417 : Cost=28.4541, ExpCost=30.6277.
Iter 418 : Cost=28.5023, ExpCost=30.6065.
Iter 419 : Cost=35.2859, ExpCost=30.6533.
Iter 420 : Cost=27.0768, ExpCost=30.6175.
Iter 421 : Cost=26.9601, ExpCost=30.5809.
Iter 422 : Cost=31.2262, ExpCost=30.5874.
Iter 423 : Cost=30.2515, ExpCost=30.5840.
Iter 424 : Cost=30.4581, ExpCost=30.5828.
Iter 425 : Cost=27.8321, ExpCost=30.5553.
Iter 426 : Cost=28.8618, ExpCost=30.5383.
Iter 427 : Cost=31.2682, ExpCost=30.5456.
Iter 428 : Cost=31.5876, ExpCost=30.5560.
Iter 429 : Cost=30.5665, ExpCost=30.5561.
Iter 430 : Cost=31.1790, ExpCost=30.5624.
Iter 431 : Cost=27.0760, ExpCost=30.5275.
Iter 432 : Cost=30.0873, ExpCost=30.5231.
Iter 433 : Cost=29.8839, ExpCost=30.5167.
Iter 434 : Cost=30.0257, ExpCost=30.5118.
Iter 435 : Cost=24.8733, ExpCost=30.4554.
Iter 436 : Cost=29.7035, ExpCost=30.4479.
Iter 437 : Cost=23.8215, ExpCost=30.3816.
Iter 438 : Cost=25.5993, ExpCost=30.3338.
Iter 439 : Cost=24.9490, ExpCost=30.2800.
Iter 440 : Cost=27.9672, ExpCost=30.2568.
Iter 441 : Cost=25.7499, ExpCost=30.2118.
Iter 442 : Cost=27.1374, ExpCost=30.1810.
Iter 443 : Cost=26.0178, ExpCost=30.1394.
Iter 444 : Cost=26.9068, ExpCost=30.1071.
Iter 445 : Cost=28.5293, ExpCost=30.0913.
Iter 446 : Cost=31.0323, ExpCost=30.1007.
Iter 447 : Cost=27.4225, ExpCost=30.0739.
Iter 448 : Cost=27.4793, ExpCost=30.0480.
Iter 449 : Cost=27.1011, ExpCost=30.0185.
Iter 450 : Cost=28.4465, ExpCost=30.0028.
Iter 451 : Cost=24.4047, ExpCost=29.9468.
Iter 452 : Cost=23.2957, ExpCost=29.8803.
Iter 453 : Cost=28.5445, ExpCost=29.8669.
Iter 454 : Cost=28.1023, ExpCost=29.8493.
Iter 455 : Cost=31.6011, ExpCost=29.8668.
Iter 456 : Cost=28.4251, ExpCost=29.8524.
Iter 457 : Cost=28.9949, ExpCost=29.8438.
Iter 458 : Cost=28.9803, ExpCost=29.8352.
Iter 459 : Cost=30.7429, ExpCost=29.8443.
Iter 460 : Cost=28.1422, ExpCost=29.8272.
Iter 461 : Cost=29.4231, ExpCost=29.8232.
Iter 462 : Cost=30.4261, ExpCost=29.8292.
Iter 463 : Cost=25.7164, ExpCost=29.7881.
Iter 464 : Cost=30.5645, ExpCost=29.7959.
Iter 465 : Cost=31.7256, ExpCost=29.8152.
Iter 466 : Cost=31.1397, ExpCost=29.8284.
Iter 467 : Cost=31.0388, ExpCost=29.8405.
Iter 468 : Cost=26.6987, ExpCost=29.8091.
Iter 469 : Cost=27.3255, ExpCost=29.7842.
Iter 470 : Cost=25.8926, ExpCost=29.7453.
Iter 471 : Cost=29.8201, ExpCost=29.7461.
Iter 472 : Cost=29.2781, ExpCost=29.7414.
Iter 473 : Cost=30.8072, ExpCost=29.7521.
Iter 474 : Cost=30.3875, ExpCost=29.7584.
Iter 475 : Cost=28.4775, ExpCost=29.7456.
Iter 476 : Cost=24.3439, ExpCost=29.6916.
Iter 477 : Cost=26.6904, ExpCost=29.6616.
Iter 478 : Cost=27.5481, ExpCost=29.6404.
Iter 479 : Cost=29.1853, ExpCost=29.6359.
Iter 480 : Cost=25.3605, ExpCost=29.5931.
Iter 481 : Cost=30.7963, ExpCost=29.6052.
Iter 482 : Cost=27.8245, ExpCost=29.5874.
