models/RNTN_wvecDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 168 : Cost=35.8790, ExpCost=38.8790.
Iter 169 : Cost=27.6469, ExpCost=38.7667.
Iter 170 : Cost=34.6049, ExpCost=38.7251.
Iter 171 : Cost=34.9336, ExpCost=38.6872.
Iter 172 : Cost=29.6655, ExpCost=38.5969.
Iter 173 : Cost=33.7442, ExpCost=38.5484.
Iter 174 : Cost=34.0143, ExpCost=38.5031.
Iter 175 : Cost=28.0056, ExpCost=38.3981.
Iter 176 : Cost=30.3679, ExpCost=38.3178.
Iter 177 : Cost=30.2355, ExpCost=38.2370.
Iter 178 : Cost=35.1179, ExpCost=38.2058.
Iter 179 : Cost=28.4681, ExpCost=38.1084.
Iter 180 : Cost=33.6129, ExpCost=38.0635.
Iter 181 : Cost=30.1845, ExpCost=37.9847.
Iter 182 : Cost=28.5041, ExpCost=37.8899.
Iter 183 : Cost=33.7230, ExpCost=37.8482.
Iter 184 : Cost=26.4317, ExpCost=37.7340.
Iter 185 : Cost=29.6027, ExpCost=37.6527.
Iter 186 : Cost=38.4393, ExpCost=37.6606.
Iter 187 : Cost=31.9689, ExpCost=37.6037.
Iter 188 : Cost=32.2913, ExpCost=37.5505.
Iter 189 : Cost=31.5250, ExpCost=37.4903.
Iter 190 : Cost=34.5279, ExpCost=37.4607.
Iter 191 : Cost=35.8332, ExpCost=37.4444.
Iter 192 : Cost=34.5998, ExpCost=37.4159.
Iter 193 : Cost=29.7919, ExpCost=37.3397.
Iter 194 : Cost=29.8998, ExpCost=37.2653.
Iter 195 : Cost=33.5018, ExpCost=37.2277.
Iter 196 : Cost=35.7239, ExpCost=37.2126.
Iter 197 : Cost=33.9103, ExpCost=37.1796.
Iter 198 : Cost=32.2536, ExpCost=37.1303.
Iter 199 : Cost=31.7950, ExpCost=37.0770.
