models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 148 : Cost=25.0976, ExpCost=21.7483.
Iter 149 : Cost=23.0351, ExpCost=21.7612.
Iter 150 : Cost=21.1447, ExpCost=21.7550.
Iter 151 : Cost=20.8482, ExpCost=21.7459.
Iter 152 : Cost=22.5244, ExpCost=21.7537.
Iter 153 : Cost=19.8044, ExpCost=21.7342.
Iter 154 : Cost=19.0271, ExpCost=21.7072.
Iter 155 : Cost=22.4950, ExpCost=21.7150.
Iter 156 : Cost=22.4130, ExpCost=21.7220.
Iter 157 : Cost=22.1076, ExpCost=21.7259.
Iter 158 : Cost=22.5493, ExpCost=21.7341.
Iter 159 : Cost=24.5871, ExpCost=21.7626.
Iter 160 : Cost=22.6034, ExpCost=21.7711.
Iter 161 : Cost=22.1784, ExpCost=21.7751.
Iter 162 : Cost=23.3907, ExpCost=21.7913.
Iter 163 : Cost=18.9590, ExpCost=21.7630.
Iter 164 : Cost=21.8135, ExpCost=21.7635.
Iter 165 : Cost=22.9762, ExpCost=21.7756.
Iter 166 : Cost=18.6211, ExpCost=21.7440.
Iter 167 : Cost=23.5296, ExpCost=21.7619.
Iter 168 : Cost=20.6604, ExpCost=21.7509.
Iter 169 : Cost=19.7438, ExpCost=21.7308.
Iter 170 : Cost=18.4656, ExpCost=21.6982.
Iter 171 : Cost=19.1792, ExpCost=21.6730.
Iter 172 : Cost=22.5676, ExpCost=21.6819.
Iter 173 : Cost=19.6695, ExpCost=21.6618.
Iter 174 : Cost=24.0261, ExpCost=21.6854.
Iter 175 : Cost=20.4714, ExpCost=21.6733.
Iter 176 : Cost=27.3289, ExpCost=21.7299.
Iter 177 : Cost=20.8405, ExpCost=21.7210.
Iter 178 : Cost=20.1493, ExpCost=21.7052.
Iter 179 : Cost=20.5509, ExpCost=21.6937.
Iter 180 : Cost=21.3031, ExpCost=21.6898.
Iter 181 : Cost=21.1762, ExpCost=21.6847.
Iter 182 : Cost=24.9819, ExpCost=21.7176.
Iter 183 : Cost=20.0201, ExpCost=21.7007.
Iter 184 : Cost=23.0694, ExpCost=21.7143.
Iter 185 : Cost=20.3981, ExpCost=21.7012.
Iter 186 : Cost=23.2803, ExpCost=21.7170.
Iter 187 : Cost=23.7869, ExpCost=21.7377.
Iter 188 : Cost=21.1443, ExpCost=21.7317.
Iter 189 : Cost=21.8891, ExpCost=21.7333.
Iter 190 : Cost=18.6278, ExpCost=21.7023.
Iter 191 : Cost=22.5899, ExpCost=21.7111.
Iter 192 : Cost=22.2847, ExpCost=21.7169.
Iter 193 : Cost=21.2418, ExpCost=21.7121.
Iter 194 : Cost=23.2949, ExpCost=21.7279.
Iter 195 : Cost=22.4299, ExpCost=21.7350.
Iter 196 : Cost=22.7310, ExpCost=21.7449.
Iter 197 : Cost=21.4874, ExpCost=21.7424.
Iter 198 : Cost=26.2045, ExpCost=21.7870.
Iter 199 : Cost=23.7701, ExpCost=21.8068.
Iter 200 : Cost=27.2857, ExpCost=21.8616.
Iter 201 : Cost=21.5631, ExpCost=21.8586.
Iter 202 : Cost=20.9790, ExpCost=21.8498.
Iter 203 : Cost=20.9259, ExpCost=21.8406.
Iter 204 : Cost=20.7089, ExpCost=21.8293.
Iter 205 : Cost=21.3522, ExpCost=21.8245.
Iter 206 : Cost=20.2057, ExpCost=21.8083.
Iter 207 : Cost=22.9460, ExpCost=21.8197.
Iter 208 : Cost=23.0033, ExpCost=21.8315.
Iter 209 : Cost=21.4230, ExpCost=21.8274.
Iter 210 : Cost=22.2800, ExpCost=21.8320.
Iter 211 : Cost=24.0078, ExpCost=21.8537.
Iter 212 : Cost=23.6761, ExpCost=21.8719.
Iter 213 : Cost=24.8294, ExpCost=21.9015.
Iter 214 : Cost=23.1757, ExpCost=21.9143.
Iter 215 : Cost=23.2688, ExpCost=21.9278.
Iter 216 : Cost=23.5144, ExpCost=21.9437.
Iter 217 : Cost=21.0964, ExpCost=21.9352.
