models/RNN2_wvecDim_30_middleDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 168 : Cost=24.3727, ExpCost=32.4191.
Iter 169 : Cost=23.8547, ExpCost=32.3334.
Iter 170 : Cost=21.2702, ExpCost=32.2228.
Iter 171 : Cost=23.1968, ExpCost=32.1325.
Iter 172 : Cost=23.4256, ExpCost=32.0455.
Iter 173 : Cost=23.4270, ExpCost=31.9593.
Iter 174 : Cost=24.0119, ExpCost=31.8798.
Iter 175 : Cost=20.1590, ExpCost=31.7626.
Iter 176 : Cost=21.4220, ExpCost=31.6592.
Iter 177 : Cost=24.7542, ExpCost=31.5901.
Iter 178 : Cost=20.2852, ExpCost=31.4771.
Iter 179 : Cost=24.4912, ExpCost=31.4072.
Iter 180 : Cost=21.2780, ExpCost=31.3059.
Iter 181 : Cost=19.3233, ExpCost=31.1861.
Iter 182 : Cost=20.1927, ExpCost=31.0762.
Iter 183 : Cost=21.4360, ExpCost=30.9798.
Iter 184 : Cost=24.0938, ExpCost=30.9109.
Iter 185 : Cost=21.5093, ExpCost=30.8169.
Iter 186 : Cost=24.9816, ExpCost=30.7585.
Iter 187 : Cost=21.6958, ExpCost=30.6679.
Iter 188 : Cost=23.2573, ExpCost=30.5938.
Iter 189 : Cost=23.6626, ExpCost=30.5245.
Iter 190 : Cost=23.8836, ExpCost=30.4581.
Iter 191 : Cost=18.9908, ExpCost=30.3434.
Iter 192 : Cost=21.7689, ExpCost=30.2577.
Iter 193 : Cost=21.8662, ExpCost=30.1738.
Iter 194 : Cost=22.6317, ExpCost=30.0983.
Iter 195 : Cost=23.0481, ExpCost=30.0278.
Iter 196 : Cost=21.6148, ExpCost=29.9437.
Iter 197 : Cost=21.1656, ExpCost=29.8559.
Iter 198 : Cost=20.5679, ExpCost=29.7630.
Iter 199 : Cost=23.3325, ExpCost=29.6987.
Iter 200 : Cost=22.8793, ExpCost=29.6305.
Iter 201 : Cost=23.1029, ExpCost=29.5653.
Iter 202 : Cost=22.4590, ExpCost=29.4942.
Iter 203 : Cost=21.3052, ExpCost=29.4123.
Iter 204 : Cost=22.9723, ExpCost=29.3479.
Iter 205 : Cost=20.5943, ExpCost=29.2604.
Iter 206 : Cost=26.2100, ExpCost=29.2299.
Iter 207 : Cost=24.1714, ExpCost=29.1793.
Iter 208 : Cost=21.0044, ExpCost=29.0975.
Iter 209 : Cost=24.2305, ExpCost=29.0489.
Iter 210 : Cost=19.9179, ExpCost=28.9576.
Iter 211 : Cost=23.2484, ExpCost=28.9005.
Iter 212 : Cost=24.1539, ExpCost=28.8530.
Iter 213 : Cost=25.8132, ExpCost=28.8226.
Iter 214 : Cost=21.9290, ExpCost=28.7537.
Iter 215 : Cost=20.6113, ExpCost=28.6722.
Iter 216 : Cost=22.3049, ExpCost=28.6086.
Iter 217 : Cost=26.1678, ExpCost=28.5842.
Iter 218 : Cost=21.1435, ExpCost=28.5098.
Iter 219 : Cost=21.5168, ExpCost=28.4398.
Iter 220 : Cost=21.1616, ExpCost=28.3670.
Iter 221 : Cost=21.2376, ExpCost=28.2957.
Iter 222 : Cost=22.1332, ExpCost=28.2341.
Iter 223 : Cost=25.8867, ExpCost=28.2106.
Iter 224 : Cost=21.7937, ExpCost=28.1465.
Iter 225 : Cost=23.0848, ExpCost=28.0959.
Iter 226 : Cost=22.6246, ExpCost=28.0411.
Iter 227 : Cost=23.6521, ExpCost=27.9973.
Iter 228 : Cost=22.3148, ExpCost=27.9404.
Iter 229 : Cost=22.1792, ExpCost=27.8828.
Iter 230 : Cost=21.2452, ExpCost=27.8164.
Iter 231 : Cost=21.9060, ExpCost=27.7573.
Iter 232 : Cost=20.1937, ExpCost=27.6817.
Iter 233 : Cost=18.7863, ExpCost=27.5927.
Iter 234 : Cost=23.1830, ExpCost=27.5486.
Iter 235 : Cost=22.6232, ExpCost=27.4994.
Iter 236 : Cost=17.5946, ExpCost=27.4003.
Iter 237 : Cost=20.6622, ExpCost=27.3330.
Iter 238 : Cost=23.5244, ExpCost=27.2949.
Iter 239 : Cost=21.0609, ExpCost=27.2325.
Iter 240 : Cost=25.3324, ExpCost=27.2135.
Iter 241 : Cost=21.2822, ExpCost=27.1542.
Iter 242 : Cost=24.7785, ExpCost=27.1305.
Iter 243 : Cost=21.5655, ExpCost=27.0748.
Iter 244 : Cost=24.7162, ExpCost=27.0512.
Iter 245 : Cost=24.4568, ExpCost=27.0253.
Iter 246 : Cost=20.1654, ExpCost=26.9567.
Iter 247 : Cost=20.4272, ExpCost=26.8914.
Iter 248 : Cost=24.1662, ExpCost=26.8641.
Iter 249 : Cost=20.7542, ExpCost=26.8030.
Iter 250 : Cost=21.0129, ExpCost=26.7451.
Iter 251 : Cost=20.8595, ExpCost=26.6863.
Iter 252 : Cost=22.5697, ExpCost=26.6451.
Iter 253 : Cost=21.9412, ExpCost=26.5981.
Iter 254 : Cost=22.3570, ExpCost=26.5557.
Iter 255 : Cost=23.6236, ExpCost=26.5263.
Iter 256 : Cost=20.0444, ExpCost=26.4615.
Iter 257 : Cost=20.5110, ExpCost=26.4020.
Iter 258 : Cost=20.8315, ExpCost=26.3463.
Iter 259 : Cost=19.7225, ExpCost=26.2801.
Iter 260 : Cost=20.1269, ExpCost=26.2185.
Iter 261 : Cost=19.0761, ExpCost=26.1471.
Iter 262 : Cost=22.2514, ExpCost=26.1082.
Iter 263 : Cost=18.3404, ExpCost=26.0305.
Iter 264 : Cost=20.4991, ExpCost=25.9752.
Iter 265 : Cost=18.4396, ExpCost=25.8998.
Iter 266 : Cost=17.6117, ExpCost=25.8169.
Iter 267 : Cost=22.6081, ExpCost=25.7849.
Iter 268 : Cost=23.4078, ExpCost=25.7611.
Iter 269 : Cost=23.1545, ExpCost=25.7350.
Iter 270 : Cost=19.8230, ExpCost=25.6759.
Iter 271 : Cost=21.9271, ExpCost=25.6384.
Iter 272 : Cost=22.5998, ExpCost=25.6080.
Iter 273 : Cost=21.5555, ExpCost=25.5675.
Iter 274 : Cost=19.2066, ExpCost=25.5039.
Iter 275 : Cost=21.7938, ExpCost=25.4668.
Iter 276 : Cost=24.9858, ExpCost=25.4620.
Iter 277 : Cost=24.9950, ExpCost=25.4573.
Iter 278 : Cost=22.1325, ExpCost=25.4241.
Iter 279 : Cost=17.7386, ExpCost=25.3472.
Iter 280 : Cost=24.3553, ExpCost=25.3373.
Iter 281 : Cost=25.5584, ExpCost=25.3395.
Iter 282 : Cost=23.3924, ExpCost=25.3200.
Iter 283 : Cost=20.2256, ExpCost=25.2691.
Iter 284 : Cost=18.9512, ExpCost=25.2059.
Time per epoch : 80.191037
testing on training set real quick
Testing netFile models/RNN2_wvecDim_30_middleDim_30_step_5e-2_2.bin
Testing RNN2...
Cost 19.339622, Acc 0.792292
testing on dev set real quick
